eventName,eventSource,username,awsRegion,hour,day_of_week,month,is_weekend,is_root,is_error,is_access_denied,is_mfa_false,is_iam_event,is_cloudtrail_event,is_console_login,is_s3_event,is_ec2_event,is_from_unknown_ip,is_us_east_1,risk_score,source_ip_is_real,source_ip_is_service,user_agent_is_console,user_agent_is_cli,user_agent_is_sdk,eventTime,sourceIPAddress,risk_level,user_total_events,user_hour_count,user_dayofweek_count,user_event_count,user_source_count,user_ip_count,user_region_count,global_event_count,global_source_count,global_ip_count,user_unique_ip_count,user_unique_region_count,user_unique_event_count,user_event_ratio,user_source_ratio,user_ip_ratio,user_region_ratio,user_hour_ratio,is_rare_event_for_user,is_rare_source_for_user,is_rare_ip_for_user,is_rare_region_for_user,is_rare_hour_for_user,is_globally_rare_event,is_globally_rare_ip,behavior_risk_score,is_internal_service_ip,is_service_user,is_human_user,is_automation_activity,is_human_activity,is_root_human_activity,is_suspicious_access_denied_human,refined_risk_score,review_priority,prediction,anomaly_score,is_anomaly,strict_automation_user,strict_automation_ip,strict_human_user,strict_automation_activity,strict_human_activity,final_is_human_alert,final_alert_score,final_alert_label
ListBuckets,s3.amazonaws.com,flaws,us-east-1,22,3,5,0,0,1,1,1,0,0,0,1,0,0,1,5,1,0,0,1,1,2020-05-14 22:41:46+00:00,32.250.9.120,high,16725,2754,6360,842,880,1,13696,11259,76117,9,651,16,34,0.0503437967115097,0.0526158445440956,5.979073243647235e-05,0.8188938714499253,0.1646636771300448,0,0,1,0,0,0,1,3,0,0,1,0,1,0,1,10,high,-1,-0.0555617576922742,1,0,0,1,0,1,1,15.55617576922742,high
ListBuckets,s3.amazonaws.com,flaws,us-east-1,15,2,2,0,0,1,1,1,0,0,0,1,0,0,1,5,1,0,0,1,1,2020-02-05 15:52:18+00:00,255.85.3.159,high,16725,2637,1926,842,880,1,13696,11259,76117,8,651,16,34,0.0503437967115097,0.0526158445440956,5.979073243647235e-05,0.8188938714499253,0.1576681614349775,0,0,1,0,0,0,1,3,0,0,1,0,1,0,1,10,high,-1,-0.0544922825826099,1,0,0,1,0,1,1,15.449228258260991,high
ListBuckets,s3.amazonaws.com,flaws,us-east-2,21,4,4,0,0,1,1,1,0,0,0,1,0,0,0,5,1,0,0,1,1,2020-04-17 21:08:36+00:00,214.183.254.173,high,16725,3608,437,842,880,2,158,11259,76117,2,651,16,34,0.0503437967115097,0.0526158445440956,0.0001195814648729,0.0094469357249626,0.2157249626307922,0,0,1,0,0,0,1,3,0,0,1,0,1,0,1,10,high,-1,-0.0539371490953173,1,0,0,1,0,1,1,15.393714909531731,high
ListBuckets,s3.amazonaws.com,flaws,us-east-1,2,6,10,1,0,1,1,1,0,0,0,1,0,0,1,5,1,0,0,1,0,2020-10-04 02:55:04+00:00,24.239.201.220,high,16725,41,3093,842,880,2,13696,11259,76117,64,651,16,34,0.0503437967115097,0.0526158445440956,0.0001195814648729,0.8188938714499253,0.0024514200298953,0,0,1,0,0,0,0,2,0,0,1,0,1,0,1,9,high,-1,-0.0608829861733432,1,0,0,1,0,1,1,15.08829861733432,high
ListBuckets,s3.amazonaws.com,flaws,us-east-1,15,1,6,0,0,1,1,1,0,0,0,1,0,0,1,5,1,0,0,1,1,2019-06-25 15:21:50+00:00,3.7.250.208,high,16725,2637,3068,842,880,1,13696,11259,76117,6,651,16,34,0.0503437967115097,0.0526158445440956,5.979073243647235e-05,0.8188938714499253,0.1576681614349775,0,0,1,0,0,0,1,3,0,0,1,0,1,0,1,10,high,-1,-0.0508021492061326,1,0,0,1,0,1,1,15.08021492061326,high
ListBuckets,s3.amazonaws.com,flaws,us-east-1,16,4,11,0,0,1,1,1,0,0,0,1,0,0,1,5,1,0,0,1,1,2019-11-29 16:12:09+00:00,0.95.233.31,high,16725,1694,437,842,880,1,13696,11259,76117,1,651,16,34,0.0503437967115097,0.0526158445440956,5.979073243647235e-05,0.8188938714499253,0.1012855007473841,0,0,1,0,0,0,1,3,0,0,1,0,1,0,1,10,high,-1,-0.0507174205248643,1,0,0,1,0,1,1,15.07174205248643,high
ListBuckets,s3.amazonaws.com,flaws,us-east-1,19,0,10,0,0,1,1,1,0,0,0,1,0,0,1,5,1,0,0,1,1,2017-10-16 19:24:52+00:00,252.163.107.199,high,16725,583,904,842,880,1,13696,11259,76117,4,651,16,34,0.0503437967115097,0.0526158445440956,5.979073243647235e-05,0.8188938714499253,0.0348579970104633,0,0,1,0,0,0,1,3,0,0,1,0,1,0,1,10,high,-1,-0.0486077283519874,1,0,0,1,0,1,1,14.860772835198741,high
ListBuckets,s3.amazonaws.com,flaws,us-east-1,19,4,4,0,0,1,1,1,0,0,0,1,0,0,1,5,1,0,0,1,1,2019-04-05 19:47:26+00:00,11.52.184.176,high,16725,583,437,842,880,1,13696,11259,76117,10,651,16,34,0.0503437967115097,0.0526158445440956,5.979073243647235e-05,0.8188938714499253,0.0348579970104633,0,0,1,0,0,0,1,3,0,0,1,0,1,0,1,10,high,-1,-0.0482393396302459,1,0,0,1,0,1,1,14.82393396302459,high
ListBuckets,s3.amazonaws.com,flaws,us-east-1,19,4,4,0,0,1,1,1,0,0,0,1,0,0,1,5,1,0,0,1,1,2019-04-05 19:50:00+00:00,84.214.244.255,high,16725,583,437,842,880,1,13696,11259,76117,1,651,16,34,0.0503437967115097,0.0526158445440956,5.979073243647235e-05,0.8188938714499253,0.0348579970104633,0,0,1,0,0,0,1,3,0,0,1,0,1,0,1,10,high,-1,-0.0482393396302459,1,0,0,1,0,1,1,14.82393396302459,high
ListBuckets,s3.amazonaws.com,flaws,us-east-1,18,4,5,0,0,1,1,1,0,0,0,1,0,0,1,5,1,0,0,1,1,2017-05-26 18:14:01+00:00,16.10.107.2,high,16725,143,437,842,880,1,13696,11259,76117,9,651,16,34,0.0503437967115097,0.0526158445440956,5.979073243647235e-05,0.8188938714499253,0.0085500747384155,0,0,1,0,0,0,1,3,0,0,1,0,1,0,1,10,high,-1,-0.0482393396302459,1,0,0,1,0,1,1,14.82393396302459,high
